customer_id,event,value,time
e222dad0c0ff4efaa9404dd9573567c1,offer completed,"{'offer_id': 'fafdcd668e3743c1bb461111dcafc2a4', 'reward': 2}",612
57f4db3b5b2a46b8b06db07840a02fb5,offer viewed,{'offer id': '2298d6c36e964ae4a3e7e9706d1fb8c2'},612
a0a4d8b5f2cc438b86a67d9639123b54,transaction,{'amount': 6.31},612
728036f087b945e9add781c1bfb8d885,transaction,{'amount': 1.47},612
a50f496253874130a441e7292a63a4a5,transaction,{'amount': 10.73},612
4c64918bc4de493a8c995fb47e7ec4c0,transaction,{'amount': 4.58},612
1bde4b674a1a442cbe6af847c9d6f2cc,transaction,{'amount': 19.14},612
c55e86a49b604577824d00be9739c62f,transaction,{'amount': 3.96},612
edddd144020249c381fee7be612e7b6d,transaction,{'amount': 0.92},612
19d4ada4982f455eae1915f01e7b0577,transaction,{'amount': 2.25},612
4ced743325e347cd888c4244620043bc,transaction,{'amount': 34.03},612
930305f046fa4f218d2539fb99baefb9,transaction,{'amount': 1.98},612
d76ab184084748ada755ed34fb6c4831,offer viewed,{'offer id': '5a8bc65990b245e5a138643cd4eb9837'},612
92865486ac7a4e8c9311568f97426db5,transaction,{'amount': 1.75},612
d15f3f2fe6cd4f20a5da77f250cbe04b,transaction,{'amount': 30.15},612
d15f3f2fe6cd4f20a5da77f250cbe04b,offer completed,"{'offer_id': '4d5c57ea9a6940dd891ad53e9dbe8da0', 'reward': 10}",612
1ac83a504e56462f9b574e9b845a32e0,transaction,{'amount': 2.7800000000000002},612
15ba5144af0048679ec28a1f13848adb,transaction,{'amount': 0.05},612
0bc7c49f736c4a7fb104595df8c54d74,transaction,{'amount': 1.98},612
85240db9bdca4e5486b9837ae5ceea59,transaction,{'amount': 2.21},612
3a1ba750f9e94800b68427f34027ccd0,offer viewed,{'offer id': 'ae264e3637204a6fb9bb56bc8210ddfd'},612
b9a046fb70224529bebf80388f93e5ad,transaction,{'amount': 9.74},612
fc4bf7eecf2a438c925f2c3cb43355d3,transaction,{'amount': 35.76},612
e58a012c0a8f4be4a4b18fcc126504ab,transaction,{'amount': 17.0},612
7a5d5424fa60427b83be6b9ea98927de,transaction,{'amount': 7.47},612
9b6a4d4dc49643b4872c16def5649db7,transaction,{'amount': 6.25},612
5ea9dae714d2486c81898c5d2a988213,transaction,{'amount': 14.1},612
5bb5a7b516994c52a55fe29945769597,transaction,{'amount': 9.72},612
33b72f542d964a07b287e69d33eb380f,offer viewed,{'offer id': '2906b810c7d4411798c6938adc9daaa5'},612
53bd1a40dbf44d708b6f2428298c3a49,offer viewed,{'offer id': 'f19421c1d4aa40978ebb69ca19b0e20d'},612
2c4cee9819af47e78a2a9fc5030921a8,transaction,{'amount': 19.28},612
eeadcd56212b46518e03a3f53d30404b,offer viewed,{'offer id': '4d5c57ea9a6940dd891ad53e9dbe8da0'},612
062bebd7d15a422aacfbe41412c1bbd5,transaction,{'amount': 3.01},612
da84884d6b5e4eb3bb01142a4a645cb7,transaction,{'amount': 0.12},612
549dcda4abdb4803aa423e1d982a5f30,transaction,{'amount': 3.84},612
